# Tsang & Jones fit to French et al. as a function of pressure.
# The pressure profile is taken for a 1 MJ planet with no irradiation and no Ohmic heating at ~5 Gyr.
#
# INDEX       RADIUS [RP]          PRESSURE        SIGMA1_LOG      SIGMA1_TSANG
     80   0.999049320E+00   0.676933323E+07   0.152111389E+12   0.132486680E+06
     81   0.999023846E+00   0.710425430E+07   0.152379284E+12   0.133467441E+06
     82   0.998999208E+00   0.744745363E+07   0.152638852E+12   0.134422956E+06
     83   0.998974184E+00   0.779893338E+07   0.152902924E+12   0.135400376E+06
     84   0.998949945E+00   0.815909346E+07   0.153159154E+12   0.136353912E+06
     85   0.998925295E+00   0.852793615E+07   0.153420174E+12   0.137330505E+06
     86   0.998901386E+00   0.909938692E+07   0.153673764E+12   0.138284373E+06
     87   0.998853410E+00   0.968952432E+07   0.154183893E+12   0.140218425E+06
     88   0.998829317E+00   0.100956661E+08   0.154440722E+12   0.141199870E+06
     89   0.998805897E+00   0.105118172E+08   0.154690775E+12   0.142160427E+06
     90   0.998782003E+00   0.109379804E+08   0.154946303E+12   0.143147126E+06
     91   0.998758757E+00   0.113746400E+08   0.155195313E+12   0.144113646E+06
     92   0.998735022E+00   0.118217988E+08   0.155449979E+12   0.145107237E+06
     93   0.998711911E+00   0.125145308E+08   0.155698344E+12   0.146081237E+06
     94   0.998665291E+00   0.132298594E+08   0.156200559E+12   0.148065907E+06
     95   0.998641765E+00   0.137221240E+08   0.156454609E+12   0.149077628E+06
     96   0.998618828E+00   0.142264925E+08   0.156702704E+12   0.150070687E+06
     97   0.998595361E+00   0.147429682E+08   0.156956930E+12   0.151093482E+06
     98   0.998572467E+00   0.155430423E+08   0.157205344E+12   0.152098000E+06
     99   0.998526161E+00   0.166533861E+08   0.157709009E+12   0.154150224E+06
    100   0.998479855E+00   0.175200929E+08   0.158214280E+12   0.156230032E+06
    101   0.998456409E+00   0.181164901E+08   0.158470722E+12   0.157293716E+06
    102   0.998433501E+00   0.190403218E+08   0.158721697E+12   0.158340030E+06
    103   0.998387064E+00   0.203223335E+08   0.159231648E+12   0.160482282E+06
    104   0.998340504E+00   0.216672060E+08   0.159744608E+12   0.162659282E+06
    105   0.998293785E+00   0.227168906E+08   0.160260972E+12   0.164873285E+06
    106   0.998270076E+00   0.234391494E+08   0.160523660E+12   0.166008341E+06
    107   0.998246874E+00   0.245578658E+08   0.160781142E+12   0.167126649E+06
    108   0.998199746E+00   0.261101904E+08   0.161305409E+12   0.169421323E+06
    109   0.998152371E+00   0.277384660E+08   0.161834153E+12   0.171759725E+06
    110   0.998104722E+00   0.290092440E+08   0.162367709E+12   0.174144145E+06
    111   0.998080500E+00   0.298835732E+08   0.162639607E+12   0.175368847E+06
    112   0.998056770E+00   0.312377410E+08   0.162906425E+12   0.176577012E+06
    113   0.998008498E+00   0.331166216E+08   0.163450547E+12   0.179060383E+06
    114   0.997959879E+00   0.350872341E+08   0.164000411E+12   0.181596783E+06
    115   0.997910892E+00   0.366250605E+08   0.164556312E+12   0.184188645E+06
    116   0.997885960E+00   0.376830561E+08   0.164839967E+12   0.185521933E+06
    117   0.997861513E+00   0.393215744E+08   0.165118576E+12   0.186838619E+06
    118   0.997811725E+00   0.415947972E+08   0.165687435E+12   0.189549002E+06
    119   0.997761505E+00   0.439787650E+08   0.166263216E+12   0.192322637E+06
    120   0.997710832E+00   0.464788098E+08   0.166846214E+12   0.195162291E+06
    121   0.997659687E+00   0.491005179E+08   0.167436717E+12   0.198070805E+06
    122   0.997608052E+00   0.518497413E+08   0.168035007E+12   0.201051087E+06
    123   0.997555907E+00   0.547326108E+08   0.168641365E+12   0.204106135E+06
    124   0.997503235E+00   0.577555495E+08   0.169256072E+12   0.207239058E+06
    125   0.997450019E+00   0.609252863E+08   0.169879412E+12   0.210453092E+06
    126   0.997396240E+00   0.642488705E+08   0.170511676E+12   0.213751611E+06
    127   0.997341880E+00   0.677336874E+08   0.171153157E+12   0.217138143E+06
    128   0.997286921E+00   0.713874733E+08   0.171804162E+12   0.220616392E+06
    129   0.997231345E+00   0.752183324E+08   0.172465002E+12   0.224190249E+06
    130   0.997175131E+00   0.792347540E+08   0.173136000E+12   0.227863783E+06
    131   0.997118263E+00   0.834456300E+08   0.173817478E+12   0.231641238E+06
    132   0.997060720E+00   0.878602744E+08   0.174509763E+12   0.235527025E+06
    133   0.997002485E+00   0.924884428E+08   0.175213179E+12   0.239525722E+06
    134   0.996943541E+00   0.973403537E+08   0.175928050E+12   0.243642063E+06
    135   0.996883872E+00   0.102426710E+09   0.176654691E+12   0.247880926E+06
    136   0.996823461E+00   0.107758721E+09   0.177393413E+12   0.252247353E+06
    137   0.996762294E+00   0.113348128E+09   0.178144531E+12   0.256746597E+06
    138   0.996700355E+00   0.119207228E+09   0.178908370E+12   0.261384178E+06
    139   0.996637628E+00   0.125348900E+09   0.179685269E+12   0.266165922E+06
    140   0.996574096E+00   0.131786633E+09   0.180475580E+12   0.271097974E+06
    141   0.996509741E+00   0.138534550E+09   0.181279669E+12   0.276186810E+06
    142   0.996444545E+00   0.145607446E+09   0.182097915E+12   0.281439252E+06
    143   0.996378490E+00   0.153020808E+09   0.182930709E+12   0.286862492E+06
    144   0.996311558E+00   0.160790859E+09   0.183778454E+12   0.292464100E+06
    145   0.996243728E+00   0.168934583E+09   0.184641566E+12   0.298252043E+06
    146   0.996174983E+00   0.177469764E+09   0.185520469E+12   0.304234690E+06
    147   0.996105302E+00   0.186415022E+09   0.186415598E+12   0.310420843E+06
    148   0.996034667E+00   0.195789854E+09   0.187327398E+12   0.316819776E+06
    149   0.995963057E+00   0.205614671E+09   0.188256334E+12   0.323441284E+06
    150   0.995890452E+00   0.215910845E+09   0.189202882E+12   0.330295692E+06
    151   0.995816832E+00   0.226700747E+09   0.190167526E+12   0.337393861E+06
    152   0.995742176E+00   0.238007801E+09   0.191150761E+12   0.344747199E+06
    153   0.995666465E+00   0.249856527E+09   0.192153088E+12   0.352367707E+06
    154   0.995589678E+00   0.262272594E+09   0.193175023E+12   0.360268037E+06
    155   0.995511796E+00   0.275282873E+09   0.194217094E+12   0.368461542E+06
    156   0.995432797E+00   0.288915494E+09   0.195279845E+12   0.376962318E+06
    157   0.995352660E+00   0.303199902E+09   0.196363837E+12   0.385785270E+06
    158   0.995271366E+00   0.318166922E+09   0.197469648E+12   0.394946169E+06
    159   0.995188891E+00   0.333848817E+09   0.198597877E+12   0.404461728E+06
    160   0.995105213E+00   0.350279360E+09   0.199749147E+12   0.414349674E+06
    161   0.995020309E+00   0.367493901E+09   0.200924105E+12   0.424628832E+06
    162   0.994934156E+00   0.385529434E+09   0.202123424E+12   0.435319222E+06
    163   0.994846727E+00   0.404424679E+09   0.203347809E+12   0.446442147E+06
    164   0.994757998E+00   0.424220151E+09   0.204597993E+12   0.458020280E+06
    165   0.994667942E+00   0.444958245E+09   0.205874738E+12   0.470077754E+06
