# Tsang & Jones fit to French et al. as a function of pressure.
# The pressure profile is taken for a 1 MJ planet with no irradiation and no Ohmic heating at ~5 Gyr.
#
# INDEX       RADIUS [RP]          PRESSURE        SIGMA1_LOG      SIGMA1_TSANG
    344   0.844911820E+00   0.125835111E+13   0.640157333E+16   0.396100206E+16
    345   0.841632859E+00   0.131088649E+13   0.802889081E+16   0.412695492E+16
    346   0.838292208E+00   0.136553885E+13   0.101128853E+17   0.429172069E+16
    347   0.834889096E+00   0.142238969E+13   0.127928832E+17   0.445528282E+16
    348   0.831422738E+00   0.148152360E+13   0.162539597E+17   0.461764591E+16
    349   0.827892332E+00   0.154302837E+13   0.207429902E+17   0.477883282E+16
    350   0.824297058E+00   0.160699517E+13   0.265906879E+17   0.493888215E+16
    351   0.820636078E+00   0.167351864E+13   0.342419883E+17   0.509784595E+16
    352   0.816908532E+00   0.174269709E+13   0.442981263E+17   0.525578779E+16
    353   0.813113539E+00   0.181463258E+13   0.575751595E+17   0.541278102E+16
    354   0.809250196E+00   0.188943107E+13   0.751857316E+17   0.556890732E+16
    355   0.805317587E+00   0.196720253E+13   0.986537747E+17   0.572425508E+16
    356   0.801314796E+00   0.204806111E+13   0.130076083E+18   0.587891778E+16
    357   0.797240911E+00   0.213212526E+13   0.172351071E+18   0.603299302E+16
    358   0.793095029E+00   0.221951791E+13   0.229504098E+18   0.618658176E+16
    359   0.788876252E+00   0.231036661E+13   0.307152281E+18   0.633978774E+16
    360   0.784583673E+00   0.240480373E+13   0.413172232E+18   0.649271764E+16
    361   0.780216357E+00   0.250296669E+13   0.558663900E+18   0.664548119E+16
    362   0.775773341E+00   0.260499819E+13   0.759348435E+18   0.679819087E+16
    363   0.771253626E+00   0.271104652E+13   0.103760615E+19   0.695096174E+16
    364   0.766656167E+00   0.282126591E+13   0.142546414E+19   0.710391163E+16
    365   0.761979842E+00   0.293581693E+13   0.196900155E+19   0.725716185E+16
    366   0.757223437E+00   0.305486686E+13   0.273487953E+19   0.741083737E+16
    367   0.752385642E+00   0.317859010E+13   0.382007662E+19   0.756506689E+16
    368   0.747465037E+00   0.330716840E+13   0.536648860E+19   0.771998298E+16
    369   0.742460084E+00   0.344079126E+13   0.758296040E+19   0.787572242E+16
    370   0.737369113E+00   0.357965617E+13   0.107787383E+20   0.803242647E+16
    371   0.732190312E+00   0.372396902E+13   0.154145897E+20   0.819024118E+16
    372   0.726921717E+00   0.387394454E+13   0.221814442E+20   0.834931773E+16
    373   0.721561201E+00   0.402980689E+13   0.321222001E+20   0.850981293E+16
    374   0.716106455E+00   0.419179057E+13   0.468217537E+20   0.867188991E+16
    375   0.710554951E+00   0.436014180E+13   0.687057033E+20   0.883571928E+16
    376   0.704903914E+00   0.449091269E+13   0.101513521E+21   0.900148029E+16
    377   0.702025020E+00   0.458011154E+13   0.123848493E+21   0.908558466E+16
    378   0.699150385E+00   0.467105221E+13   0.151053149E+21   0.916935928E+16
    379   0.696218884E+00   0.476377459E+13   0.184958718E+21   0.925459840E+16
    380   0.693291037E+00   0.485831347E+13   0.226417617E+21   0.933955522E+16
    381   0.690305149E+00   0.495471118E+13   0.278283110E+21   0.942603321E+16
    382   0.687322266E+00   0.505300558E+13   0.341958455E+21   0.951227768E+16
    383   0.684280021E+00   0.515324165E+13   0.421930268E+21   0.960010553E+16
    384   0.681240085E+00   0.525546082E+13   0.520521624E+21   0.968775019E+16
    385   0.678139299E+00   0.535971103E+13   0.644855398E+21   0.977704676E+16
    386   0.675040074E+00   0.546603785E+13   0.798801903E+21   0.986621229E+16
    387   0.671878322E+00   0.557449248E+13   0.993783213E+21   0.995710541E+16
    388   0.668717326E+00   0.568512502E+13   0.123629337E+22   0.100479218E+17
    389   0.665491921E+00   0.579799032E+13   0.154484070E+22   0.101405492E+17
    390   0.662266403E+00   0.591314310E+13   0.193040850E+22   0.102331567E+17
    391   0.658974395E+00   0.603064227E+13   0.242331279E+22   0.103276665E+17
    392   0.655681333E+00   0.615054699E+13   0.304229514E+22   0.104222165E+17
    393   0.652319515E+00   0.627292063E+13   0.383756607E+22   0.105187676E+17
    394   0.648955617E+00   0.639782633E+13   0.484142048E+22   0.106154224E+17
    395   0.645520551E+00   0.652533244E+13   0.613797059E+22   0.107141844E+17
    396   0.642082281E+00   0.665550538E+13   0.778346324E+22   0.108131181E+17
    397   0.638570321E+00   0.678841895E+13   0.992045698E+22   0.109142712E+17
    398   0.635053929E+00   0.692414233E+13   0.126480465E+23   0.110156687E+17
    399   0.631461242E+00   0.706275526E+13   0.162107854E+23   0.111194039E+17
    400   0.627862764E+00   0.720432943E+13   0.207854003E+23   0.112234623E+17
    401   0.624185317E+00   0.734895107E+13   0.267967313E+23   0.113299827E+17
    402   0.620500573E+00   0.749669418E+13   0.345640103E+23   0.114369119E+17
    403   0.616734120E+00   0.764765213E+13   0.448350573E+23   0.115464338E+17
    404   0.612958702E+00   0.780190111E+13   0.581942751E+23   0.116564580E+17
    405   0.609098771E+00   0.795954229E+13   0.759763071E+23   0.117692124E+17
    406   0.605228019E+00   0.812065411E+13   0.992660508E+23   0.118825717E+17
    407   0.601269875E+00   0.828534627E+13   0.130480340E+24   0.119988069E+17
    408   0.597298826E+00   0.845369955E+13   0.171662936E+24   0.121157602E+17
    409   0.593237411E+00   0.862583311E+13   0.227257908E+24   0.122357442E+17
    410   0.589160748E+00   0.880183028E+13   0.301174965E+24   0.123565719E+17
    411   0.584990628E+00   0.898182066E+13   0.401719089E+24   0.124805958E+17
    412   0.580802620E+00   0.916589046E+13   0.536491339E+24   0.126056037E+17
    413   0.576517932E+00   0.935418089E+13   0.721279143E+24   0.127339851E+17
    414   0.572212390E+00   0.954678139E+13   0.971112684E+24   0.128635071E+17
    415   0.567806809E+00   0.974384610E+13   0.131654910E+25   0.129965930E+17
    416   0.563377044E+00   0.994546812E+13   0.178784553E+25   0.131309946E+17
    417   0.558843719E+00   0.101518161E+14   0.244528650E+25   0.132691658E+17
    418   0.554282455E+00   0.103629872E+14   0.335094780E+25   0.134088496E+17
    419   0.549613921E+00   0.105791665E+14   0.462619229E+25   0.135525260E+17
    420   0.544913208E+00   0.108004551E+14   0.640095953E+25   0.136979372E+17
    421   0.540101335E+00   0.110270567E+14   0.892485726E+25   0.138475828E+17
    422   0.535252487E+00   0.112590763E+14   0.124757516E+26   0.139992148E+17
    423   0.530288422E+00   0.114967382E+14   0.175787770E+26   0.141553430E+17
    424   0.525281935E+00   0.117401510E+14   0.248418120E+26   0.143137442E+17
    425   0.520156017E+00   0.119895628E+14   0.353965389E+26   0.144769254E+17
    426   0.514981464E+00   0.122377239E+14   0.506054622E+26   0.146427073E+17
    427   0.509987816E+00   0.124843903E+14   0.714507603E+26   0.148037195E+17
    428   0.504944789E+00   0.127291635E+14   0.101227296E+27   0.149673694E+17
    429   0.500100694E+00   0.129717669E+14   0.141455718E+27   0.151255740E+17
    430   0.495207185E+00   0.132124480E+14   0.198347056E+27   0.152864178E+17
    431   0.490504951E+00   0.134509412E+14   0.274468678E+27   0.154419640E+17
    432   0.485753447E+00   0.136874902E+14   0.381099087E+27   0.156001430E+17
    433   0.481186150E+00   0.139218394E+14   0.522464530E+27   0.157531567E+17
    434   0.476569863E+00   0.141542289E+14   0.718696311E+27   0.159087909E+17
    435   0.472131223E+00   0.143844128E+14   0.976572832E+27   0.160593793E+17
    436   0.467643983E+00   0.146126271E+14   0.133144067E+28   0.162125712E+17
    437   0.463328277E+00   0.148386350E+14   0.179387845E+28   0.163608260E+17
    438   0.458964459E+00   0.150626688E+14   0.242497659E+28   0.165116630E+17
    439   0.454766459E+00   0.152844999E+14   0.324076508E+28   0.166576626E+17
    440   0.450520915E+00   0.155043570E+14   0.434524091E+28   0.168062195E+17
    441   0.446435826E+00   0.157220193E+14   0.576191109E+28   0.169500310E+17
    442   0.442303818E+00   0.159377117E+14   0.766525826E+28   0.170963723E+17
    443   0.438327203E+00   0.161512210E+14   0.100884683E+29   0.172380542E+17
    444   0.434304338E+00   0.164659094E+14   0.133202133E+29   0.173822363E+17
    445   0.426514006E+00   0.168807668E+14   0.228150348E+29   0.176639215E+17
    446   0.418925489E+00   0.172874508E+14   0.385368893E+29   0.179415051E+17
    447   0.411531676E+00   0.176860356E+14   0.642230646E+29   0.182150637E+17
    448   0.404325928E+00   0.180766043E+14   0.105648532E+30   0.184846643E+17
    449   0.397302019E+00   0.184592483E+14   0.171625082E+30   0.187503661E+17
    450   0.390454100E+00   0.188340660E+14   0.275434482E+30   0.190122213E+17
    451   0.383776675E+00   0.192011618E+14   0.436858785E+30   0.192702757E+17
    452   0.377264565E+00   0.195606453E+14   0.685021741E+30   0.195245701E+17
    453   0.370912892E+00   0.199126305E+14   0.106231805E+31   0.197751401E+17
    454   0.364717049E+00   0.202572350E+14   0.162978330E+31   0.200220170E+17
    455   0.358672681E+00   0.205945792E+14   0.247434867E+31   0.202652285E+17
    456   0.352775665E+00   0.209247855E+14   0.371853062E+31   0.205047990E+17
    457   0.347022092E+00   0.212479781E+14   0.553322790E+31   0.207407500E+17
    458   0.341408249E+00   0.215642823E+14   0.815443430E+31   0.209731004E+17
    459   0.335930610E+00   0.218738240E+14   0.119048253E+32   0.212018671E+17
    460   0.330585817E+00   0.221767291E+14   0.172213344E+32   0.214270648E+17
    461   0.325370676E+00   0.224731233E+14   0.246899972E+32   0.216487066E+17
    462   0.320282138E+00   0.228977354E+14   0.350894991E+32   0.218668043E+17
    463   0.310472661E+00   0.233247829E+14   0.690973664E+32   0.222924384E+17
    464   0.305747003E+00   0.237224363E+14   0.957703857E+32   0.224999612E+17
    465   0.296639784E+00   0.242428994E+14   0.179658512E+33   0.229045147E+17
    466   0.287976452E+00   0.247408950E+14   0.326849454E+33   0.232950849E+17
    467   0.279739300E+00   0.252173006E+14   0.577380793E+33   0.236717225E+17
    468   0.271911870E+00   0.256729488E+14   0.991482855E+33   0.240344785E+17
    469   0.264478778E+00   0.261086244E+14   0.165683008E+34   0.243834080E+17
    470   0.257425548E+00   0.265250634E+14   0.269696240E+34   0.247185746E+17
    471   0.250738473E+00   0.270943380E+14   0.428042725E+34   0.250400535E+17
    472   0.238409097E+00   0.278232197E+14   0.100315582E+35   0.256424241E+17
    473   0.227394542E+00   0.287091289E+14   0.214686662E+35   0.261913432E+17
    474   0.209733913E+00   0.297848609E+14   0.727149867E+35   0.270933044E+17
    475   0.195264114E+00   0.305324348E+14   0.197568592E+36   0.278529210E+17
    476   0.188863546E+00   0.310803680E+14   0.307421993E+36   0.281950037E+17
    477   0.179562213E+00   0.316805358E+14   0.584487107E+36   0.286988916E+17
    478   0.172766437E+00   0.321291966E+14   0.934648261E+36   0.290721903E+17
    479   0.167896869E+00   0.324564163E+14   0.130838403E+37   0.293423890E+17
    480   0.164462917E+00   0.326901991E+14   0.165864644E+37   0.295343022E+17
    481   0.162071424E+00   0.328545455E+14   0.195658449E+37   0.296686308E+17
    482   0.160421500E+00   0.329686846E+14   0.219278629E+37   0.297616307E+17
    483   0.159290918E+00   0.330472583E+14   0.237090296E+37   0.298255109E+17
    484   0.158519935E+00   0.331010112E+14   0.250059444E+37   0.298691449E+17
    485   0.157995944E+00   0.331376235E+14   0.259276404E+37   0.298988335E+17
    486   0.157640646E+00   0.331624857E+14   0.265718587E+37   0.299189796E+17
    487   0.157400116E+00   0.331793339E+14   0.270170442E+37   0.299326251E+17
    488   0.157237459E+00   0.331907352E+14   0.273223186E+37   0.299418561E+17
    489   0.157127544E+00   0.331984432E+14   0.275305573E+37   0.299480954E+17
    490   0.157053306E+00   0.332036508E+14   0.276721006E+37   0.299523101E+17
    491   0.157003183E+00   0.332071677E+14   0.277680792E+37   0.299551561E+17
    492   0.156969348E+00   0.332095420E+14   0.278330553E+37   0.299570773E+17
    493   0.156946512E+00   0.332111446E+14   0.278769949E+37   0.299583741E+17
    494   0.156931101E+00   0.332122262E+14   0.279066869E+37   0.299592493E+17
    495   0.156920702E+00   0.332129561E+14   0.279267410E+37   0.299598398E+17
    496   0.156913685E+00   0.332135221E+14   0.279402810E+37   0.299602383E+17
    497   0.156907196E+00   0.332139783E+14   0.279528075E+37   0.299606068E+17
    498   0.156902801E+00   0.332142464E+14   0.279612948E+37   0.299608564E+17
    499   0.156900801E+00   0.332143684E+14   0.279651595E+37   0.299609701E+17
    500   0.156899890E+00   0.332144224E+14   0.279669190E+37   0.299610218E+17
    501   0.156899511E+00   0.332144543E+14   0.279676508E+37   0.299610433E+17
