# Tsang & Jones fit to French et al. as a function of pressure.
# The pressure profile is taken for a 1 MJ planet with no irradiation and no Ohmic heating at ~5 Gyr.
#
#      INDEX          RADIUS [RP]            PRESSURE [cgs]               SIGMA [cgs]
         131  0.92801734400000002        279293922000.00000        18370824500000.000     
         132  0.92647201300000004        291439178000.00000        24685629000000.000     
         133  0.92489153000000002        304100996000.00000        33029847800000.000     
         134  0.92327516899999995        317300728000.00000        43961578200000.000     
         135  0.92162219700000003        331060568000.00000        58142865300000.000     
         136  0.91993187399999998        345403595000.00000        76336835400000.000     
         137  0.91820345599999997        360353805000.00000        99394740500000.000     
         138  0.91643619399999998        375936155000.00000        128231228000000.00     
         139  0.91462933300000004        392176594000.00000        163787635000000.00     
         140  0.91278211300000001        409102096000.00000        206985165000000.00     
         141  0.91089376899999996        426740682000.00000        258671999000000.00     
         142  0.90896353500000004        445121448000.00000        319570122000000.00     
         143  0.90699064399999996        464274601000.00000        390228323000000.00     
         144  0.90497433000000005        484231493000.00000        470987229000000.00     
         145  0.90291383000000003        505024666000.00000        561960364000000.00     
         146  0.90080838900000004        526687896000.00000        663032681000000.00     
         147  0.89865725399999996        549256239000.00000        773875388000000.00     
         148  0.89645968300000001        572766078000.00000        893973929000000.00     
         149  0.89421493600000002        597255175000.00000        1022664610000000.0     
         150  0.89192227800000001        622762723000.00000        1159175160000000.0     
         151  0.88958097300000005        649329410000.00000        1302665170000000.0     
         152  0.88719029100000002        676997472000.00000        1452263220000000.0     
         153  0.88474949700000005        705810759000.00000        1607098680000000.0     
         154  0.88225785700000003        735814788000.00000        1766327200000000.0     
         155  0.87971463999999999        767056809000.00000        1929149710000000.0     
         156  0.87711911700000000        799585863000.00000        2094825460000000.0     
         157  0.87447056700000003        833452842000.00000        2262680040000000.0     
         158  0.87176827400000001        868710549000.00000        2432109310000000.0     
         159  0.86901152500000001        905413758000.00000        2602580410000000.0     
         160  0.86619960900000004        943619273000.00000        2773630170000000.0     
         161  0.86333181599999997        983385988000.00000        2944861680000000.0     
         162  0.86040743799999997        1024774950000.0000        3115939880000000.0     
         163  0.85742576699999995        1067849450000.0000        3286586640000000.0     
         164  0.85438609200000004        1112675070000.0000        3456575640000000.0     
         165  0.85128769500000001        1159319800000.0000        3625727180000000.0     
         166  0.84812984899999999        1207854130000.0000        3793903110000000.0     
         167  0.84491181999999998        1258351110000.0000        3961002060000000.0     
         168  0.84163285899999996        1310886490000.0000        4126954920000000.0     
         169  0.83829220800000004        1365538850000.0000        4291720690000000.0     
         170  0.83488909600000005        1422389690000.0000        4455282820000000.0     
         171  0.83142273799999999        1481523600000.0000        4617645910000000.0     
         172  0.82789233200000001        1543028370000.0000        4778832820000000.0     
         173  0.82429705799999997        1606995170000.0000        4938882150000000.0     
         174  0.82063607800000005        1673518640000.0000        5097845950000000.0     
         175  0.81690853200000002        1742697090000.0000        5255787790000000.0     
         176  0.81311353900000005        1814632580000.0000        5412781020000000.0     
         177  0.80925019600000003        1889431070000.0000        5568907320000000.0     
         178  0.80531758700000000        1967202530000.0000        5724255080000000.0     
         179  0.80131479600000000        2048061110000.0000        5878917780000000.0     
         180  0.79724091100000005        2132125260000.0000        6032993020000000.0     
         181  0.79309502899999995        2219517910000.0000        6186581760000000.0     
         182  0.78887625200000000        2310366610000.0000        6339787740000000.0     
         183  0.78458367299999998        2404803730000.0000        6492717640000000.0     
         184  0.78021635700000003        2502966690000.0000        6645481190000000.0     
         185  0.77577334099999995        2604998190000.0000        6798190870000000.0     
         186  0.77125362600000003        2711046520000.0000        6950961740000000.0     
         187  0.76665616700000006        2821265910000.0000        7103911630000000.0     
         188  0.76197984200000002        2935816930000.0000        7257161850000000.0     
         189  0.75722343700000005        3054866860000.0000        7410837370000000.0     
         190  0.75238564200000002        3178590100000.0000        7565066890000000.0     
         191  0.74746503700000000        3307168400000.0000        7719982980000000.0     
         192  0.74246008399999996        3440791260000.0000        7875722420000000.0     
         193  0.73736911299999996        3579656170000.0000        8032426470000000.0     
         194  0.73219031199999995        3723969020000.0000        8190241180000000.0     
         195  0.72692171699999997        3873944540000.0000        8349317730000000.0     
         196  0.72156120099999999        4029806890000.0000        8509812930000000.0     
         197  0.71610645500000003        4191790570000.0000        8671889910000000.0     
         198  0.71055495099999999        4360141800000.0000        8835719280000000.0     
         199  0.70490391399999996        4490912690000.0000        9001480290000000.0     
         200  0.70202502000000000        4580111540000.0000        9085584660000000.0     
         201  0.69915038500000004        4671052210000.0000        9169359280000000.0     
         202  0.69621888399999998        4763774590000.0000        9254598400000000.0     
         203  0.69329103700000005        4858313470000.0000        9339555220000000.0     
         204  0.69030514899999995        4954711180000.0000        9426033210000000.0     
         205  0.68732226600000002        5053005580000.0000        9512277680000000.0     
         206  0.68428002099999996        5153241650000.0000        9600105530000000.0     
         207  0.68124008500000000        5255460820000.0000        9687750190000000.0     
         208  0.67813929900000003        5359711030000.0000        9777046760000000.0     
         209  0.67504007399999999        5466037850000.0000        9866212290000000.0     
         210  0.67187832199999997        5574492480000.0000        9957105410000000.0     
         211  0.66871732600000000        5685125020000.0000        10047921800000000.     
         212  0.66549192099999999        5797990320000.0000        10140549200000000.     
         213  0.66226640299999995        5913143100000.0000        10233156700000000.     
         214  0.65897439499999999        6030642270000.0000        10327666500000000.     
         215  0.65568133299999998        6150546990000.0000        10422216500000000.     
         216  0.65231951499999996        6272920630000.0000        10518767600000000.     
         217  0.64895561700000004        6397826330000.0000        10615422400000000.     
         218  0.64552055100000005        6525332440000.0000        10714184400000000.     
         219  0.64208228099999998        6655505380000.0000        10813118100000000.     
         220  0.63857032100000000        6788418950000.0000        10914271200000000.     
         221  0.63505392900000002        6924142330000.0000        11015668700000000.     
         222  0.63146124199999998        7062755260000.0000        11119403900000000.     
         223  0.62786276399999996        7204329430000.0000        11223462300000000.     
         224  0.62418531700000002        7348951070000.0000        11329982700000000.     
         225  0.62050057300000006        7496694180000.0000        11436911900000000.     
         226  0.61673412000000005        7647652130000.0000        11546433800000000.     
         227  0.61295870200000002        7801901110000.0000        11656458000000000.     
         228  0.60909877099999998        7959542290000.0000        11769212400000000.     
         229  0.60522801900000001        8120654110000.0000        11882571700000000.     
         230  0.60126987499999995        8285346270000.0000        11998806900000000.     
         231  0.59729882599999995        8453699550000.0000        12115760200000000.     
         232  0.59323741100000005        8625833110000.0000        12235744200000000.     
         233  0.58916074799999996        8801830280000.0000        12356571900000000.     
         234  0.58499062800000001        8981820660000.0000        12480595800000000.     
         235  0.58080262000000005        9165890460000.0000        12605603700000000.     
         236  0.57651793200000001        9354180890000.0000        12733985100000000.     
         237  0.57221239000000002        9546781390000.0000        12863507100000000.     
         238  0.56780680900000002        9743846100000.0000        12996593000000000.     
         239  0.56337704399999999        9945468120000.0000        13130994600000000.     
         240  0.55884371899999996        10151816100000.000        13269165800000000.     
         241  0.55428245499999995        10362987200000.000        13408849600000000.     
         242  0.54961392099999995        10579166500000.000        13552526000000000.     
         243  0.54491320799999998        10800455100000.000        13697937200000000.     
         244  0.54010133500000002        11027056700000.000        13847582800000000.     
         245  0.53525248700000005        11259076300000.000        13999214800000000.     
         246  0.53028842200000004        11496738200000.000        14155343000000000.     
         247  0.52528193499999998        11740151000000.000        14313744200000000.     
         248  0.52015601700000003        11989562800000.000        14476925400000000.     
         249  0.51498146400000000        12237723900000.000        14642707300000000.     
         250  0.50998781599999998        12484390300000.000        14803719500000000.     
         251  0.50494478899999995        12729163500000.000        14967369400000000.     
         252  0.50010069400000001        12971766900000.000        15125574000000000.     
         253  0.49520718499999999        13212448000000.000        15286417800000000.     
         254  0.49050495100000002        13450941200000.000        15441964000000000.     
         255  0.48575344700000000        13687490200000.000        15600143000000000.     
         256  0.48118614999999998        13921839400000.000        15753156700000000.     
         257  0.47656986299999998        14154228900000.000        15908790900000000.     
         258  0.47213122299999999        14384412800000.000        16059379300000000.     
         259  0.46764398299999999        14612627100000.000        16212571200000000.     
         260  0.46332827700000001        14838635000000.000        16360826000000000.     
         261  0.45896445899999999        15062668800000.000        16511663000000000.     
         262  0.45476645900000001        15284499900000.000        16657662600000000.     
         263  0.45052091500000002        15504357000000.000        16806219500000000.     
         264  0.44643582599999998        15722019300000.000        16950031000000000.     
         265  0.44230381800000002        15937711700000.000        17096372300000000.     
         266  0.43832720300000000        16151221000000.000        17238054200000000.     
         267  0.43430433800000001        16465909400000.000        17382236300000000.     
         268  0.42651400600000000        16880766800000.000        17663921500000000.     
         269  0.41892548899999998        17287450800000.000        17941505100000000.     
         270  0.41153167600000001        17686035600000.000        18215063700000000.     
         271  0.40432592800000000        18076604300000.000        18484664300000000.     
         272  0.39730201900000001        18459248300000.000        18750366100000000.     
         273  0.39045410000000003        18834066000000.000        19012221300000000.     
         274  0.38377667500000001        19201161800000.000        19270275700000000.     
         275  0.37726456500000000        19560645300000.000        19524570100000000.     
         276  0.37091289199999999        19912630500000.000        19775140100000000.     
         277  0.36471704900000002        20257235000000.000        20022017000000000.     
         278  0.35867268099999999        20594579200000.000        20265228500000000.     
         279  0.35277566500000002        20924785500000.000        20504799000000000.     
         280  0.34702209200000000        21247978100000.000        20740750000000000.     
         281  0.34140824900000000        21564282300000.000        20973100400000000.     
         282  0.33593061000000002        21873824000000.000        21201867100000000.     
         283  0.33058581700000000        22176729100000.000        21427064800000000.     
         284  0.32537067600000003        22473123300000.000        21648706600000000.     
         285  0.32028213799999999        22897735400000.000        21866804300000000.     
         286  0.31047266099999998        23324782900000.000        22292438400000000.     
         287  0.30574700300000002        23722436300000.000        22499961200000000.     
         288  0.29663978400000002        24242899400000.000        22904514700000000.     
         289  0.28797645199999999        24740895000000.000        23295084900000000.     
         290  0.27973930000000002        25217300600000.000        23671722500000000.     
         291  0.27191187000000000        25672948800000.000        24034478500000000.     
         292  0.26447877800000003        26108624400000.000        24383408000000000.     
         293  0.25742554800000000        26525063400000.000        24718574600000000.     
         294  0.25073847300000002        27094338000000.000        25040053500000000.     
         295  0.23840909699999999        27823219700000.000        25642424100000000.     
         296  0.22739454200000001        28709128900000.000        26191343200000000.     
         297  0.20973391299999999        29784860900000.000        27093304400000000.     
         298  0.19526411399999999        30532434800000.000        27852921000000000.     
         299  0.18886354599999999        31080368000000.000        28195003700000000.     
         300  0.17956221300000000        31680535800000.000        28698891600000000.     
         301  0.17276643699999999        32129196600000.000        29072190300000000.     
         302  0.16789686900000000        32456416300000.000        29342389000000000.     
         303  0.16446291699999999        32690199100000.000        29534302200000000.     
         304  0.16207142399999999        32854545500000.000        29668630800000000.     
         305  0.16042149999999999        32968684600000.000        29761630700000000.     
         306  0.15929091800000000        33047258300000.000        29825510900000000.     
         307  0.15851993500000000        33101011200000.000        29869144900000000.     
         308  0.15799594400000000        33137623500000.000        29898833500000000.     
         309  0.15764064600000000        33162485700000.000        29918979600000000.     
         310  0.15740011600000001        33179333900000.000        29932625100000000.     
         311  0.15723745900000000        33190735200000.000        29941856100000000.     
         312  0.15712754400000001        33198443200000.000        29948095400000000.     
         313  0.15705330600000000        33203650800000.000        29952310100000000.     
         314  0.15700318299999999        33207167700000.000        29955156100000000.     
         315  0.15696934800000001        33209542000000.000        29957077300000000.     
         316  0.15694651200000001        33211144600000.000        29958374100000000.     
         317  0.15693110099999999        33212226200000.000        29959249300000000.     
         318  0.15692070200000000        33212956100000.000        29959839800000000.     
         319  0.15691368500000000        33213522100000.000        29960238300000000.     
         320  0.15690719600000000        33213978300000.000        29960606800000000.     
         321  0.15690280100000001        33214246400000.000        29960856400000000.     
         322  0.15690080100000001        33214368400000.000        29960970100000000.     
         323  0.15689988999999999        33214422400000.000        29961021800000000.     
         324  0.15689951099999999        33214454300000.000        29961043300000000.     
