#              Age:              Teq:             Mass:            R_RCB:            P_RCB:
#   0.503865159E+10   0.000000000E+00   0.183841434E+31   0.717193044E+10   0.956892339E+06
# INDEX       RADIUS [RJ]       RADIUS [RP]           DENSITY          PRESSURE       TEMPERATURE           ENTROPY           GRAVITY              MASS             DMASS           CHI_RHO             CHI_T           GAMMA_1           GAMMA_3            SIGMA1            SIGMA2        EPS_JOULE1        EPS_JOULE2             V_ATM        SIGMA1_LOG        SIGMA1_EYE      SIGMA1_TSANG        SIGMA1_INT        LUMINOSITY        EXTRA_HEAT        IRRAD_HEAT
# COL 1                 2                 3                 4                 5                 6                 7                 8                 9                10                11                12                13                14                15                16                17                18                19                20                21                22                23                24                25                26
      1   0.100339012E+01   0.100000000E+01   0.104931004E-03   0.370490251E+06   0.984777027E+02   0.450950774E+09   0.238448498E+04   0.183841434E+31   0.889346333E+18   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.142443068E+12   0.601775759E-97   0.000000000E+00               NaN   0.000000000E+00   0.142443068E+12   0.000000000E+00   0.100597442E+06   0.684731417E+06   0.344847281E+25   0.000000000E+00   0.000000000E+00
      2   0.100339012E+01   0.999999998E+00   0.104932324E-03   0.370495580E+06   0.984778798E+02   0.450950420E+09   0.238448499E+04   0.183841434E+31   0.200102925E+19   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.142443086E+12   0.602063482E-97   0.000000000E+00               NaN   0.000000000E+00   0.142443086E+12   0.000000000E+00   0.100597495E+06   0.684731417E+06   0.344847281E+25   0.000000000E+00   0.000000000E+00
      3   0.100339011E+01   0.999999994E+00   0.104934762E-03   0.370505418E+06   0.984782066E+02   0.450949765E+09   0.238448501E+04   0.183841434E+31   0.333504875E+19   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.142443127E+12   0.602595030E-97   0.000000000E+00               NaN   0.000000000E+00   0.142443127E+12   0.000000000E+00   0.100597615E+06   0.684731417E+06   0.344847281E+25   0.000000000E+00   0.000000000E+00
      4   0.100339010E+01   0.999999987E+00   0.104938318E-03   0.370519766E+06   0.984786834E+02   0.450948811E+09   0.238448505E+04   0.183841434E+31   0.444673167E+19   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.142443194E+12   0.603371057E-97   0.000000000E+00               NaN   0.000000000E+00   0.142443194E+12   0.000000000E+00   0.100597814E+06   0.684731417E+06   0.344847281E+25   0.000000000E+00   0.000000000E+00
      5   0.100339010E+01   0.999999978E+00   0.104944413E-03   0.370544362E+06   0.984795006E+02   0.450947175E+09   0.238448509E+04   0.183841434E+31   0.889346333E+19   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.142443284E+12   0.604703736E-97   0.000000000E+00               NaN   0.000000000E+00   0.142443284E+12   0.000000000E+00   0.100598081E+06   0.684731417E+06   0.344847281E+25   0.000000000E+00   0.000000000E+00
      6   0.100339008E+01   0.999999960E+00   0.104953555E-03   0.370581255E+06   0.984807266E+02   0.450944721E+09   0.238448518E+04   0.183841434E+31   0.111168292E+20   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.142443464E+12   0.606708354E-97   0.000000000E+00               NaN   0.000000000E+00   0.142443464E+12   0.000000000E+00   0.100598613E+06   0.684731417E+06   0.344847281E+25   0.000000000E+00   0.000000000E+00
      7   0.100339005E+01   0.999999937E+00   0.104963713E-03   0.370622249E+06   0.984820889E+02   0.450941995E+09   0.238448529E+04   0.183841434E+31   0.111168292E+20   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.142443688E+12   0.608943610E-97   0.000000000E+00               NaN   0.000000000E+00   0.142443688E+12   0.000000000E+00   0.100599279E+06   0.684731417E+06   0.344847281E+25   0.000000000E+00   0.000000000E+00
      8   0.100339003E+01   0.999999914E+00   0.104978949E-03   0.370683738E+06   0.984841326E+02   0.450937907E+09   0.238448539E+04   0.183841434E+31   0.222336583E+20   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.142443913E+12   0.612312075E-97   0.000000000E+00               NaN   0.000000000E+00   0.142443913E+12   0.000000000E+00   0.100599944E+06   0.684731417E+06   0.344847281E+25   0.000000000E+00   0.000000000E+00
      9   0.100338999E+01   0.999999868E+00   0.105009419E-03   0.370806718E+06   0.984882205E+02   0.450929734E+09   0.238448561E+04   0.183841434E+31   0.444673167E+20   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.142444362E+12   0.619105594E-97   0.000000000E+00               NaN   0.000000000E+00   0.142444362E+12   0.000000000E+00   0.100601275E+06   0.684731417E+06   0.344847281E+25   0.000000000E+00   0.000000000E+00
     10   0.100338989E+01   0.999999777E+00   0.105070347E-03   0.371052677E+06   0.984963990E+02   0.450913403E+09   0.238448605E+04   0.183841434E+31   0.889346333E+20   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.142445260E+12   0.632921977E-97   0.000000000E+00               NaN   0.000000000E+00   0.142445260E+12   0.000000000E+00   0.100603936E+06   0.684731417E+06   0.344847281E+25   0.000000000E+00   0.000000000E+00
     11   0.100338971E+01   0.999999595E+00   0.105212462E-03   0.371626582E+06   0.985154943E+02   0.450875367E+09   0.238448692E+04   0.183841434E+31   0.222336583E+21   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.142447056E+12   0.666381872E-97   0.000000000E+00               NaN   0.000000000E+00   0.142447056E+12   0.000000000E+00   0.100609255E+06   0.684731417E+06   0.344847281E+25   0.000000000E+00   0.000000000E+00
     12   0.100338925E+01   0.999999139E+00   0.105415340E-03   0.372446447E+06   0.985428167E+02   0.450821211E+09   0.238448909E+04   0.183841434E+31   0.222336583E+21   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.142451539E+12   0.717326941E-97   0.000000000E+00               NaN   0.000000000E+00   0.142451539E+12   0.000000000E+00   0.100622536E+06   0.684731417E+06   0.344847281E+25   0.000000000E+00   0.000000000E+00
     13   0.100338880E+01   0.999998684E+00   0.105719379E-03   0.373676248E+06   0.985838655E+02   0.450740349E+09   0.238449126E+04   0.183841434E+31   0.444673167E+21   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.142456013E+12   0.801207398E-97   0.000000000E+00               NaN   0.000000000E+00   0.142456013E+12   0.000000000E+00   0.100635793E+06   0.684731417E+06   0.344847281E+25   0.000000000E+00   0.000000000E+00
     14   0.100338789E+01   0.999997778E+00   0.106326419E-03   0.376135858E+06   0.986662229E+02   0.450579975E+09   0.238449558E+04   0.183841434E+31   0.889346333E+21   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.142464936E+12   0.999910970E-97   0.000000000E+00               NaN   0.000000000E+00   0.142464936E+12   0.000000000E+00   0.100662236E+06   0.684731417E+06   0.344847281E+25   0.000000000E+00   0.000000000E+00
     15   0.100338608E+01   0.999995975E+00   0.107737609E-03   0.381874989E+06   0.988595959E+02   0.450212545E+09   0.238450418E+04   0.183841434E+31   0.222336583E+22   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.142482683E+12   0.167932683E-96   0.000000000E+00               NaN   0.000000000E+00   0.142482683E+12   0.000000000E+00   0.100714841E+06   0.684731417E+06   0.344847281E+25   0.000000000E+00   0.000000000E+00
     16   0.100338161E+01   0.999991526E+00   0.109739383E-03   0.390073894E+06   0.991400930E+02   0.449704869E+09   0.238452539E+04   0.183841434E+31   0.222336583E+22   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.142526478E+12   0.354722737E-96   0.000000000E+00               NaN   0.000000000E+00   0.142526478E+12   0.000000000E+00   0.100844750E+06   0.684731417E+06   0.344847281E+25   0.000000000E+00   0.000000000E+00
     17   0.100337723E+01   0.999987158E+00   0.112713871E-03   0.402372466E+06   0.995670963E+02   0.448977128E+09   0.238454622E+04   0.183841434E+31   0.444673167E+22   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.142569487E+12   0.109702470E-95   0.000000000E+00               NaN   0.000000000E+00   0.142569487E+12   0.000000000E+00   0.100972453E+06   0.684731417E+06   0.344847281E+25   0.000000000E+00   0.000000000E+00
     18   0.100336870E+01   0.999978652E+00   0.116621662E-03   0.418771120E+06   0.100152650E+03   0.448070498E+09   0.238458678E+04   0.183841433E+31   0.444673167E+22   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.142653275E+12   0.506651050E-95   0.000000000E+00               NaN   0.000000000E+00   0.142653275E+12   0.000000000E+00   0.101221584E+06   0.684731417E+06   0.344847281E+25   0.000000000E+00   0.000000000E+00
     19   0.100336045E+01   0.999970432E+00   0.120465538E-03   0.435170313E+06   0.100753789E+03   0.447229645E+09   0.238462598E+04   0.183841433E+31   0.444673167E+22   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.142734302E+12   0.238667016E-94   0.000000000E+00               NaN   0.000000000E+00   0.142734302E+12   0.000000000E+00   0.101462954E+06   0.684731417E+06   0.344847281E+25   0.000000000E+00   0.000000000E+00
     20   0.100335246E+01   0.999962474E+00   0.125365982E-03   0.456469568E+06   0.101554009E+03   0.446225483E+09   0.238466393E+04   0.183841432E+31   0.710372167E+22   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.142812790E+12   0.182011464E-93   0.000000000E+00               NaN   0.000000000E+00   0.142812790E+12   0.000000000E+00   0.101697173E+06   0.684731417E+06   0.344847281E+25   0.000000000E+00   0.000000000E+00
     21   0.100334021E+01   0.999950257E+00   0.129784487E-03   0.476119625E+06   0.102319462E+03   0.445387427E+09   0.238472219E+04   0.183841432E+31   0.355186084E+22   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.142933360E+12   0.122948971E-92   0.000000000E+00               NaN   0.000000000E+00   0.142933360E+12   0.000000000E+00   0.102057773E+06   0.684731417E+06   0.344847281E+25   0.000000000E+00   0.000000000E+00
     22   0.100333429E+01   0.999944357E+00   0.132682554E-03   0.489219972E+06   0.102838399E+03   0.444867697E+09   0.238475033E+04   0.183841431E+31   0.355186084E+22   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.142991630E+12   0.441174062E-92   0.000000000E+00               NaN   0.000000000E+00   0.142991630E+12   0.000000000E+00   0.102232394E+06   0.684731417E+06   0.344847281E+25   0.000000000E+00   0.000000000E+00
     23   0.100332849E+01   0.999938585E+00   0.136958692E-03   0.508870946E+06   0.103629406E+03   0.444142503E+09   0.238477785E+04   0.183841431E+31   0.710372167E+22   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.143048651E+12   0.301295201E-91   0.000000000E+00               NaN   0.000000000E+00   0.143048651E+12   0.000000000E+00   0.102403491E+06   0.684731417E+06   0.344847281E+25   0.000000000E+00   0.000000000E+00
     24   0.100331727E+01   0.999927402E+00   0.142516374E-03   0.535073416E+06   0.104716125E+03   0.443277367E+09   0.238483119E+04   0.183841430E+31   0.710372167E+22   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.143159199E+12   0.401139718E-90   0.000000000E+00               NaN   0.000000000E+00   0.143159199E+12   0.000000000E+00   0.102735821E+06   0.684731417E+06   0.344847281E+25   0.000000000E+00   0.000000000E+00
     25   0.100330649E+01   0.999916655E+00   0.147918249E-03   0.561277013E+06   0.105832840E+03   0.442513996E+09   0.238488244E+04   0.183841430E+31   0.710372167E+22   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.143265519E+12   0.541054740E-89   0.000000000E+00               NaN   0.000000000E+00   0.143265519E+12   0.000000000E+00   0.103056212E+06   0.684731417E+06   0.344847281E+25   0.000000000E+00   0.000000000E+00
     26   0.100329610E+01   0.999906300E+00   0.153167242E-03   0.587481696E+06   0.106977735E+03   0.441842423E+09   0.238493183E+04   0.183841429E+31   0.710372167E+22   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.143368033E+12   0.734608924E-88   0.000000000E+00               NaN   0.000000000E+00   0.143368033E+12   0.000000000E+00   0.103365851E+06   0.684731417E+06   0.344847281E+25   0.000000000E+00   0.000000000E+00
     27   0.100328606E+01   0.999896299E+00   0.158266524E-03   0.613687427E+06   0.108149151E+03   0.441253912E+09   0.238497953E+04   0.183841428E+31   0.710372167E+22   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.143467106E+12   0.998363461E-87   0.000000000E+00               NaN   0.000000000E+00   0.143467106E+12   0.000000000E+00   0.103665767E+06   0.684731417E+06   0.344847281E+25   0.000000000E+00   0.000000000E+00
     28   0.100327635E+01   0.999886621E+00   0.163219426E-03   0.639894172E+06   0.109345587E+03   0.440740777E+09   0.238502569E+04   0.183841428E+31   0.710372167E+22   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.143563053E+12   0.135143078E-85   0.000000000E+00               NaN   0.000000000E+00   0.143563053E+12   0.000000000E+00   0.103956851E+06   0.684731417E+06   0.344847281E+25   0.000000000E+00   0.000000000E+00
     29   0.100326694E+01   0.999877236E+00   0.169884679E-03   0.676369987E+06   0.111043992E+03   0.440134677E+09   0.238507045E+04   0.183841427E+31   0.126701424E+23   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.143656152E+12   0.494326750E-84   0.000000000E+00               NaN   0.000000000E+00   0.143656152E+12   0.000000000E+00   0.104239886E+06   0.684731417E+06   0.344847281E+25   0.000000000E+00   0.000000000E+00
     30   0.100325080E+01   0.999861154E+00   0.176019330E-03   0.711430168E+06   0.112729314E+03   0.439672901E+09   0.238514716E+04   0.183841426E+31   0.633507121E+22   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.143815833E+12   0.157498511E-82   0.000000000E+00               NaN   0.000000000E+00   0.143815833E+12   0.000000000E+00   0.104726700E+06   0.684731417E+06   0.344847281E+25   0.000000000E+00   0.000000000E+00
     31   0.100324301E+01   0.999853393E+00   0.179982003E-03   0.734804347E+06   0.113869546E+03   0.439415934E+09   0.238518418E+04   0.183841425E+31   0.633507121E+22   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.143892956E+12   0.154390685E-81   0.000000000E+00               NaN   0.000000000E+00   0.143892956E+12   0.000000000E+00   0.104962440E+06   0.684731417E+06   0.344847281E+25   0.000000000E+00   0.000000000E+00
     32   0.100323540E+01   0.999845803E+00   0.183839760E-03   0.758179237E+06   0.115026364E+03   0.439199169E+09   0.238522039E+04   0.183841424E+31   0.633507121E+22   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.143968422E+12   0.149250738E-80   0.000000000E+00               NaN   0.000000000E+00   0.143968422E+12   0.000000000E+00   0.105193506E+06   0.684731417E+06   0.344847281E+25   0.000000000E+00   0.000000000E+00
     33   0.100322794E+01   0.999838371E+00   0.187594233E-03   0.781554821E+06   0.116199675E+03   0.439020124E+09   0.238525583E+04   0.183841424E+31   0.633507121E+22   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.144042344E+12   0.142189558E-79   0.000000000E+00               NaN   0.000000000E+00   0.144042344E+12   0.000000000E+00   0.105420217E+06   0.684731417E+06   0.344847281E+25   0.000000000E+00   0.000000000E+00
     34   0.100322063E+01   0.999831089E+00   0.193044698E-03   0.816619218E+06   0.117984965E+03   0.438813258E+09   0.238529057E+04   0.183841423E+31   0.126701424E+23   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.144114824E+12   0.402297173E-78   0.000000000E+00               NaN   0.000000000E+00   0.144114824E+12   0.000000000E+00   0.105642867E+06   0.684731417E+06   0.344847281E+25   0.000000000E+00   0.000000000E+00
     35   0.100320643E+01   0.999816935E+00   0.199944853E-03   0.863374396E+06   0.120435325E+03   0.438659577E+09   0.238535809E+04   0.183841422E+31   0.126701424E+23   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.144255799E+12   0.335600965E-76   0.000000000E+00               NaN   0.000000000E+00   0.144255799E+12   0.000000000E+00   0.106076947E+06   0.684731417E+06   0.344847281E+25   0.000000000E+00   0.000000000E+00
     36   0.100319272E+01   0.999803268E+00   0.206445625E-03   0.910132129E+06   0.122959960E+03   0.438628146E+09   0.238542329E+04   0.183841420E+31   0.126701424E+23   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.144392044E+12   0.265594080E-74   0.000000000E+00               NaN   0.000000000E+00   0.144392044E+12   0.000000000E+00   0.106497746E+06   0.684731417E+06   0.344847281E+25   0.000000000E+00   0.000000000E+00
     37   0.100317944E+01   0.999790032E+00   0.212746467E-03   0.956892339E+06   0.125448558E+03   0.438627838E+09   0.238548643E+04   0.183841419E+31   0.126701424E+23   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.144524125E+12   0.166326665E-72   0.000000000E+00               NaN   0.000000000E+00   0.144524125E+12   0.000000000E+00   0.106906893E+06   0.684731417E+06   0.344847281E+25   0.000000000E+00   0.000000000E+00
     38   0.100316655E+01   0.999777188E+00   0.217402774E-03   0.991964298E+06   0.127261170E+03   0.438623102E+09   0.238554771E+04   0.183841418E+31   0.633507121E+22   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.144652413E+12   0.306106116E-71   0.000000000E+00               NaN   0.000000000E+00   0.144652413E+12   0.000000000E+00   0.107305432E+06   0.684731417E+06   0.344847280E+25   0.000000000E+00   0.000000000E+00
     39   0.100316024E+01   0.999770903E+00   0.220463178E-03   0.101534619E+07   0.128452639E+03   0.438623077E+09   0.238557769E+04   0.183841417E+31   0.633507121E+22   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.144715226E+12   0.198614985E-70   0.000000000E+00               NaN   0.000000000E+00   0.144715226E+12   0.000000000E+00   0.107500977E+06   0.684731417E+06   0.344847280E+25   0.000000000E+00   0.000000000E+00
     40   0.100315402E+01   0.999764705E+00   0.225139142E-03   0.105158153E+07   0.130273744E+03   0.438627688E+09   0.238560726E+04   0.183841417E+31   0.132995896E+23   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.144777194E+12   0.324205066E-69   0.000000000E+00               NaN   0.000000000E+00   0.144777194E+12   0.000000000E+00   0.107694157E+06   0.684731417E+06   0.344847280E+25   0.000000000E+00   0.000000000E+00
     41   0.100314124E+01   0.999751964E+00   0.231388151E-03   0.110067224E+07   0.132672787E+03   0.438627467E+09   0.238566805E+04   0.183841415E+31   0.132995896E+23   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.144904671E+12   0.114353487E-67   0.000000000E+00               NaN   0.000000000E+00   0.144904671E+12   0.000000000E+00   0.108092386E+06   0.684731417E+06   0.344847280E+25   0.000000000E+00   0.000000000E+00
     42   0.100312880E+01   0.999739567E+00   0.240517274E-03   0.117431196E+07   0.136176499E+03   0.438641940E+09   0.238572720E+04   0.183841414E+31   0.265991792E+23   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.145028817E+12   0.166322827E-65   0.000000000E+00               NaN   0.000000000E+00   0.145028817E+12   0.000000000E+00   0.108481279E+06   0.684731417E+06   0.344847280E+25   0.000000000E+00   0.000000000E+00
     43   0.100310487E+01   0.999715713E+00   0.249495527E-03   0.124795871E+07   0.139509058E+03   0.438628225E+09   0.238584102E+04   0.183841411E+31   0.132995896E+23   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.145267992E+12   0.150848783E-63   0.000000000E+00               NaN   0.000000000E+00   0.145267992E+12   0.000000000E+00   0.109233502E+06   0.684731417E+06   0.344847280E+25   0.000000000E+00   0.000000000E+00
     44   0.100309333E+01   0.999704214E+00   0.255340108E-03   0.129705880E+07   0.141679031E+03   0.438628100E+09   0.238589589E+04   0.183841410E+31   0.132995896E+23   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.145383421E+12   0.253554008E-62   0.000000000E+00               NaN   0.000000000E+00   0.145383421E+12   0.000000000E+00   0.109597948E+06   0.684731417E+06   0.344847280E+25   0.000000000E+00   0.000000000E+00
     45   0.100308206E+01   0.999692979E+00   0.261097067E-03   0.134616110E+07   0.143800367E+03   0.438627990E+09   0.238594950E+04   0.183841409E+31   0.132995896E+23   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.145496299E+12   0.368751052E-61   0.000000000E+00               NaN   0.000000000E+00   0.145496299E+12   0.000000000E+00   0.109955232E+06   0.684731417E+06   0.344847280E+25   0.000000000E+00   0.000000000E+00
     46   0.100307103E+01   0.999681991E+00   0.266770846E-03   0.139526555E+07   0.145875870E+03   0.438627893E+09   0.238600193E+04   0.183841407E+31   0.132995896E+23   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.145606776E+12   0.469763785E-60   0.000000000E+00               NaN   0.000000000E+00   0.145606776E+12   0.000000000E+00   0.110305769E+06   0.684731417E+06   0.344847280E+25   0.000000000E+00   0.000000000E+00
     47   0.100306024E+01   0.999671237E+00   0.275375600E-03   0.147136320E+07   0.149025087E+03   0.438638361E+09   0.238605325E+04   0.183841406E+31   0.279196397E+23   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.145714986E+12   0.195168389E-58   0.000000000E+00               NaN   0.000000000E+00   0.145714986E+12   0.000000000E+00   0.110649937E+06   0.684731417E+06   0.344847280E+25   0.000000000E+00   0.000000000E+00
     48   0.100303829E+01   0.999649365E+00   0.284000079E-03   0.154868650E+07   0.152093272E+03   0.438628696E+09   0.238615763E+04   0.183841403E+31   0.139598199E+23   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.145935308E+12   0.636468853E-57   0.000000000E+00               NaN   0.000000000E+00   0.145935308E+12   0.000000000E+00   0.111353200E+06   0.684731417E+06   0.344847280E+25   0.000000000E+00   0.000000000E+00
     49   0.100302765E+01   0.999638760E+00   0.289635223E-03   0.160023756E+07   0.154098367E+03   0.438628624E+09   0.238620824E+04   0.183841402E+31   0.139598199E+23   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.146042247E+12   0.576077840E-56   0.000000000E+00               NaN   0.000000000E+00   0.146042247E+12   0.000000000E+00   0.111695768E+06   0.684731417E+06   0.344847280E+25   0.000000000E+00   0.000000000E+00
     50   0.100301722E+01   0.999628362E+00   0.295198422E-03   0.165179076E+07   0.156065157E+03   0.438628560E+09   0.238625786E+04   0.183841400E+31   0.139598199E+23   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.146147183E+12   0.473461111E-55   0.000000000E+00               NaN   0.000000000E+00   0.146147183E+12   0.000000000E+00   0.112032698E+06   0.684731417E+06   0.344847280E+25   0.000000000E+00   0.000000000E+00
     51   0.100300698E+01   0.999618160E+00   0.300692799E-03   0.170334607E+07   0.157995536E+03   0.438628502E+09   0.238630655E+04   0.183841399E+31   0.139598199E+23   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.146250217E+12   0.355834048E-54   0.000000000E+00               NaN   0.000000000E+00   0.146250217E+12   0.000000000E+00   0.112364270E+06   0.684731417E+06   0.344847280E+25   0.000000000E+00   0.000000000E+00
     52   0.100299693E+01   0.999608144E+00   0.308048670E-03   0.178068213E+07   0.160654812E+03   0.530752669E+09   0.238635436E+04   0.183841398E+31   0.279196397E+23   0.100133943E+01   0.100088027E+01   0.148058008E+01   0.147768750E+01   0.146351442E+12   0.531165261E-53   0.000000000E+00               NaN   0.000000000E+00   0.146351442E+12   0.000000000E+00   0.112690743E+06   0.684731417E+06   0.344847278E+25   0.000000000E+00   0.000000000E+00
     53   0.100297731E+01   0.999588589E+00   0.320302145E-03   0.188636270E+07   0.163667357E+03   0.530745656E+09   0.238644769E+04   0.183841395E+31   0.293046236E+23   0.100143741E+01   0.100105551E+01   0.148028891E+01   0.147606367E+01   0.146549264E+12   0.103227375E-51   0.000000000E+00               NaN   0.000000000E+00   0.146549264E+12   0.000000000E+00   0.113330845E+06   0.684731417E+06   0.344847278E+25   0.000000000E+00   0.000000000E+00
     54   0.100295750E+01   0.999568849E+00   0.332644108E-03   0.199460958E+07   0.166625753E+03   0.530727943E+09   0.238654191E+04   0.183841392E+31   0.293046236E+23   0.100156855E+01   0.100129461E+01   0.147992746E+01   0.147446767E+01   0.146749235E+12   0.171621560E-50   0.000000000E+00               NaN   0.000000000E+00   0.146749235E+12   0.000000000E+00   0.113980701E+06   0.684731417E+06   0.344847278E+25   0.000000000E+00   0.000000000E+00
     55   0.100293843E+01   0.999549841E+00   0.344785493E-03   0.210286470E+07   0.169469113E+03   0.530723034E+09   0.238663264E+04   0.183841389E+31   0.293046236E+23   0.100170608E+01   0.100153942E+01   0.147928370E+01   0.147302490E+01   0.146942052E+12   0.233530537E-49   0.000000000E+00               NaN   0.000000000E+00   0.146942052E+12   0.000000000E+00   0.114609983E+06   0.684731417E+06   0.344847278E+25   0.000000000E+00   0.000000000E+00
     56   0.100292003E+01   0.999531501E+00   0.356737889E-03   0.221112776E+07   0.172208622E+03   0.530725471E+09   0.238672019E+04   0.183841386E+31   0.293046236E+23   0.100183212E+01   0.100174630E+01   0.147826675E+01   0.147179365E+01   0.147128326E+12   0.266593030E-48   0.000000000E+00               NaN   0.000000000E+00   0.147128326E+12   0.000000000E+00   0.115220412E+06   0.684731417E+06   0.344847278E+25   0.000000000E+00   0.000000000E+00
     57   0.100290224E+01   0.999513775E+00   0.368797672E-03   0.232208194E+07   0.174920077E+03   0.530729678E+09   0.238680480E+04   0.183841383E+31   0.307572287E+23   0.100193672E+01   0.100188731E+01   0.147679076E+01   0.147078438E+01   0.147308590E+12   0.275679210E-47   0.000000000E+00               NaN   0.000000000E+00   0.147308590E+12   0.000000000E+00   0.115813492E+06   0.684731417E+06   0.344847278E+25   0.000000000E+00   0.000000000E+00
     58   0.100288419E+01   0.999495778E+00   0.380964863E-03   0.243572774E+07   0.177604044E+03   0.530731531E+09   0.238689072E+04   0.183841380E+31   0.307572287E+23   0.100201569E+01   0.100195264E+01   0.147491081E+01   0.146995413E+01   0.147491836E+12   0.259801134E-46   0.000000000E+00               NaN   0.000000000E+00   0.147491836E+12   0.000000000E+00   0.116418753E+06   0.684731417E+06   0.344847278E+25   0.000000000E+00   0.000000000E+00
     59   0.100286670E+01   0.999478355E+00   0.392953008E-03   0.254938147E+07   0.180203262E+03   0.530732336E+09   0.238697389E+04   0.183841377E+31   0.307572287E+23   0.100207297E+01   0.100195756E+01   0.147286216E+01   0.146918398E+01   0.147669452E+12   0.214226573E-45   0.000000000E+00               NaN   0.000000000E+00   0.147669452E+12   0.000000000E+00   0.117007709E+06   0.684731417E+06   0.344847278E+25   0.000000000E+00   0.000000000E+00
     60   0.100284975E+01   0.999461463E+00   0.404773149E-03   0.266304288E+07   0.182724079E+03   0.530732535E+09   0.238705454E+04   0.183841374E+31   0.307572287E+23   0.100211506E+01   0.100192064E+01   0.147081705E+01   0.146835470E+01   0.147841859E+12   0.156658119E-44   0.000000000E+00               NaN   0.000000000E+00   0.147841859E+12   0.000000000E+00   0.117581554E+06   0.684731417E+06   0.344847277E+25   0.000000000E+00   0.000000000E+00
     61   0.100283330E+01   0.999445064E+00   0.422715914E-03   0.283917645E+07   0.186516053E+03   0.530750412E+09   0.238713283E+04   0.183841371E+31   0.645614043E+23   0.100216640E+01   0.100182133E+01   0.146790068E+01   0.146680501E+01   0.148009431E+12   0.282622816E-43   0.000000000E+00               NaN   0.000000000E+00   0.148009431E+12   0.000000000E+00   0.118141345E+06   0.684731417E+06   0.344847277E+25   0.000000000E+00   0.000000000E+00
